Name,Research Area,PhD From,Personal Profile,Research Description
Dr Neha Sardana,"Nanomaterials, plasmon-based materials, optical sensing devices, metamaterials","IMPRS-MLU, Halle (Saale), Germany",https://sites.google.com/iitrpr.ac.in/nsardana/,"This research area focuses on Nanomaterials, plasmon-based materials, optical sensing devices, metamaterials. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Abhishek Tiwari,"Fracture mechanics, configurational forces, creep & fatigue, FEM modelling of materials","Bhabha Atomic Research Centre (BARC), India",https://sites.google.com/iitrpr.ac.in/atiwari,"This research area focuses on Fracture mechanics, configurational forces, creep & fatigue, FEM modelling of materials. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Atharva Poundarik,"Biomaterials, implantable medical devices, orthopedic biomaterials","Rensselaer Polytechnic Institute, USA",https://sites.google.com/iitrpr.ac.in/aapoundarik,"This research area focuses on Biomaterials, implantable medical devices, orthopedic biomaterials. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Avala Lavakumar,"In-situ deformation studies, TEM, synchrotron X-ray diffraction, advanced alloys","Kyoto University, Japan",https://sites.google.com/iitrpr.ac.in/lava/home,"This research area focuses on In-situ deformation studies, TEM, synchrotron X-ray diffraction, advanced alloys. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Hariprasad Gopalan,"High-temperature deformation, ceramics & composites processing, fracture mechanisms",IISc Bangalore,https://sites.google.com/iitrpr.ac.in/harigopalan?usp=sharing,"This research area focuses on High-temperature deformation, ceramics & composites processing, fracture mechanisms. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Khushboo Rakha,"Advanced high-strength steels, electron microscopy, atom probe tomography","Deakin University, Australia",https://sites.google.com/iitrpr.ac.in/krakha,"This research area focuses on Advanced high-strength steels, electron microscopy, atom probe tomography. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Nitish Bibhanshu,"Electron microscopy, additive manufacturing, thermomechanical processing of metals",IISc Bangalore,https://sites.google.com/iitrpr.ac.in/iitroparmaterials/home,"This research area focuses on Electron microscopy, additive manufacturing, thermomechanical processing of metals. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Poonam Yadav,"Energy materials, battery materials failure mechanisms, phase transformation","RMIT University, Australia",https://sites.google.com/iitrpr.ac.in/iitroparmaterials-poonam-yadav/home?authuser=2,"This research area focuses on Energy materials, battery materials failure mechanisms, phase transformation. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Pratik K. Ray,"Physical metallurgy, high-entropy alloys, metallic glasses, nanomaterials","Iowa State University, USA",https://sites.google.com/iitrpr.ac.in/pratik-ray,"This research area focuses on Physical metallurgy, high-entropy alloys, metallic glasses, nanomaterials. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Prince Kumar Singh,"Process metallurgy, steel-making modelling, recycling of steel waste",IIT Kanpur,https://sites.google.com/iitrpr.ac.in/pksingh,"This research area focuses on Process metallurgy, steel-making modelling, recycling of steel waste. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Rajiv Kumar,"Corrosion, high-temperature oxidation, high-entropy alloys, nanocrystalline materials",IIT Bombay & Monash University,https://sites.google.com/iitrpr.ac.in/rajivkumar,"This research area focuses on Corrosion, high-temperature oxidation, high-entropy alloys, nanocrystalline materials. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Ravi Mohan Prasad,"Porous ceramics, metal-matrix composites, hydrogen storage materials, photocatalysts","TU Darmstadt, Germany",https://sites.google.com/iitrpr.ac.in/rmprasad,"This research area focuses on Porous ceramics, metal-matrix composites, hydrogen storage materials, photocatalysts. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Sambit Bapari,"Mechanical behaviour of polymers/composites, nanoporous metals, metal hydrides",IISc Bangalore,https://sites.google.com/iitrpr.ac.in/sambit-bapari?usp=sharing,"This research area focuses on Mechanical behaviour of polymers/composites, nanoporous metals, metal hydrides. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
Dr Suman Kumari Mishra (Adjunct Professor),"Corrosion-resistant coatings, plasma spray coatings, thermoelectric coatings",Not specified on page,https://sites.google.com/iitrpr.ac.in/sumankmishra/home,"This research area focuses on Corrosion-resistant coatings, plasma spray coatings, thermoelectric coatings. It studies fundamental concepts, develops models and experiments, and applies scientific or engineering methods to solve real‑world problems related to this domain."
